                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.0247,                0.98705,                  1.288,                0.79835,                0.71944,                0.77932,                0.56787,                 1.5818,                 1.3302,                 1.5978,               0.006271,               0.006271,               0.006271
                    115,                 1.0024,                0.98611,                 1.2918,                0.75692,                0.71286,                0.75432,                0.54866,                 1.6016,                 1.3963,                 1.6117,               0.006238,               0.006238,               0.006238
                    116,                 1.0126,                 1.0082,                 1.2856,                0.77967,                0.72065,                0.76935,                0.57145,                 1.5328,                 1.3445,                 1.5602,               0.006205,               0.006205,               0.006205
                    117,                 1.0157,                0.98123,                 1.2866,                0.87456,                0.69519,                0.78755,                0.55074,                 1.5708,                 1.3109,                 1.6239,               0.006172,               0.006172,               0.006172
                    118,                 0.9979,                0.97751,                 1.2845,                0.78284,                0.69424,                  0.771,                0.55113,                 1.5655,                 1.3168,                  1.595,               0.006139,               0.006139,               0.006139
                    119,                0.98715,                0.97153,                 1.2715,                0.84131,                0.74568,                0.78339,                 0.5809,                 1.5394,                 1.2566,                 1.6098,               0.006106,               0.006106,               0.006106
                    120,                0.97942,                0.96934,                 1.2784,                0.77158,                0.71782,                0.76291,                0.55492,                 1.5853,                 1.3191,                 1.6337,               0.006073,               0.006073,               0.006073
                    121,                 1.0021,                0.97313,                 1.2803,                 0.8332,                0.71689,                 0.7864,                0.57439,                  1.611,                 1.3318,                 1.6446,                0.00604,                0.00604,                0.00604
                    122,                0.99723,                 0.9666,                 1.2722,                0.77998,                0.73364,                0.79205,                0.57976,                 1.5357,                 1.2921,                 1.5984,               0.006007,               0.006007,               0.006007
                    123,                0.97058,                0.93553,                 1.2623,                0.79729,                0.77973,                 0.7967,                0.56679,                 1.5693,                  1.262,                 1.6268,               0.005974,               0.005974,               0.005974
                    124,                0.98456,                0.93233,                 1.2663,                0.80069,                0.72509,                0.79237,                 0.5785,                 1.5437,                 1.2162,                 1.6154,               0.005941,               0.005941,               0.005941
                    125,                0.97247,                0.94317,                 1.2672,                0.82145,                0.72346,                 0.7845,                0.57791,                 1.5429,                 1.2888,                 1.6012,               0.005908,               0.005908,               0.005908
                    126,                0.96692,                0.94642,                 1.2649,                0.84934,                0.71917,                0.79303,                 0.5737,                 1.5733,                 1.2845,                 1.6524,               0.005875,               0.005875,               0.005875
                    127,                0.96095,                0.92282,                 1.2533,                0.77344,                 0.7472,                0.79711,                 0.5759,                  1.504,                  1.284,                  1.571,               0.005842,               0.005842,               0.005842
                    128,                0.95184,                0.91659,                 1.2482,                0.80597,                0.73949,                0.78484,                0.58484,                 1.5244,                 1.2728,                  1.618,               0.005809,               0.005809,               0.005809
                    129,                0.97525,                0.91546,                 1.2539,                  0.788,                0.74692,                0.78983,                0.57722,                 1.5191,                 1.3103,                 1.6228,               0.005776,               0.005776,               0.005776
                    130,                0.95947,                0.91633,                 1.2449,                0.79077,                0.74497,                0.77726,                0.57385,                 1.5664,                 1.3536,                 1.6402,               0.005743,               0.005743,               0.005743
                    131,                0.95559,                0.91141,                 1.2445,                0.87028,                0.73032,                0.79154,                0.57377,                 1.5654,                 1.3492,                 1.6471,                0.00571,                0.00571,                0.00571
                    132,                0.96809,                0.93316,                 1.2528,                0.79114,                0.77682,                 0.7974,                0.58608,                 1.5662,                 1.3231,                 1.6319,               0.005677,               0.005677,               0.005677
                    133,                0.94449,                 0.9115,                 1.2341,                 0.7496,                0.77323,                0.78915,                0.57613,                  1.524,                 1.2794,                 1.6489,               0.005644,               0.005644,               0.005644
                    134,                 0.9436,                0.90788,                 1.2479,                0.80126,                0.74326,                0.79089,                0.59098,                 1.5526,                 1.3119,                 1.6001,               0.005611,               0.005611,               0.005611
                    135,                0.95299,                0.91952,                 1.2435,                0.82093,                0.75332,                0.79772,                0.59423,                 1.5233,                  1.272,                 1.6015,               0.005578,               0.005578,               0.005578
                    136,                 0.9285,                0.89455,                 1.2353,                0.85117,                 0.7302,                0.79771,                0.57639,                 1.5418,                 1.3164,                 1.5944,               0.005545,               0.005545,               0.005545
                    137,                 0.9276,                0.88887,                 1.2361,                0.80565,                0.75601,                0.78694,                0.58226,                 1.5479,                 1.3638,                 1.6113,               0.005512,               0.005512,               0.005512
                    138,                 0.9371,                0.90693,                 1.2311,                0.90311,                0.72918,                0.79511,                0.59527,                 1.5272,                 1.3139,                 1.5949,               0.005479,               0.005479,               0.005479
                    139,                0.94321,                0.89385,                 1.2329,                0.82405,                0.73495,                0.79674,                0.58148,                 1.5039,                 1.3257,                 1.5822,               0.005446,               0.005446,               0.005446
                    140,                0.91983,                0.86741,                 1.2238,                0.78462,                0.74482,                0.79583,                0.58229,                 1.5237,                 1.2953,                 1.5857,               0.005413,               0.005413,               0.005413
                    141,                0.90412,                0.86824,                 1.2229,                0.81897,                0.75262,                0.79337,                0.58833,                 1.4995,                 1.2937,                 1.5767,                0.00538,                0.00538,                0.00538
                    142,                0.93311,                0.87553,                  1.224,                0.83387,                0.73299,                0.79537,                0.58086,                 1.5281,                 1.2304,                 1.6006,               0.005347,               0.005347,               0.005347
                    143,                0.90989,                0.86644,                 1.2172,                0.88079,                0.72852,                 0.8004,                  0.584,                 1.5182,                 1.2458,                 1.5892,               0.005314,               0.005314,               0.005314
                    144,                0.92291,                0.87103,                 1.2178,                0.80955,                0.74144,                 0.7971,                0.57002,                 1.5699,                 1.2928,                 1.6187,               0.005281,               0.005281,               0.005281
                    145,                0.92111,                0.87795,                  1.222,                0.86045,                0.75397,                0.80447,                0.59227,                  1.555,                 1.2366,                 1.6336,               0.005248,               0.005248,               0.005248
                    146,                0.90959,                0.84845,                 1.2099,                0.82686,                 0.7412,                0.78824,                0.58563,                 1.5444,                 1.3641,                 1.6368,               0.005215,               0.005215,               0.005215
                    147,                 0.8953,                0.84896,                 1.2065,                0.81598,                0.75247,                0.79413,                0.57593,                 1.5635,                 1.3463,                 1.6119,               0.005182,               0.005182,               0.005182
                    148,                0.90373,                0.85368,                 1.2049,                0.84815,                0.76531,                 0.8084,                 0.5988,                 1.5512,                 1.2136,                 1.6543,               0.005149,               0.005149,               0.005149
                    149,                0.90321,                0.84235,                 1.2017,                0.86297,                0.73052,                0.79803,                0.59074,                 1.5392,                 1.2232,                 1.6222,               0.005116,               0.005116,               0.005116
                    150,                0.90203,                0.84374,                 1.2062,                0.83315,                0.76041,                0.79624,                0.59399,                 1.5806,                 1.3465,                 1.6302,               0.005083,               0.005083,               0.005083
                    151,                0.89257,                0.83306,                 1.2052,                0.83411,                0.74812,                0.79602,                0.58874,                 1.5433,                 1.2694,                 1.6265,                0.00505,                0.00505,                0.00505
