                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.4661,                 1.4405,                 1.5749,                0.62226,                0.39453,                0.45558,                  0.242,                 1.9571,                 2.0458,                  1.922,               0.006073,               0.006073,               0.006073
                    122,                 1.4362,                 1.4063,                 1.5551,                0.53001,                0.33697,                0.39794,                0.22088,                 2.0353,                 2.0496,                 1.9656,                0.00604,                0.00604,                0.00604
                    123,                 1.4396,                 1.4082,                 1.5606,                0.56901,                0.40447,                 0.4498,                0.22004,                 2.0514,                 2.0871,                 1.9499,               0.006007,               0.006007,               0.006007
                    124,                 1.4205,                 1.3794,                 1.5279,                0.42043,                0.42816,                0.40091,                0.19188,                 2.0667,                 2.1458,                   1.98,               0.005974,               0.005974,               0.005974
                    125,                 1.4081,                 1.3776,                 1.5158,                0.50102,                0.39363,                0.42519,                 0.2249,                 1.9164,                 2.2266,                 1.9424,               0.005941,               0.005941,               0.005941
                    126,                 1.4493,                 1.4172,                  1.569,                0.49207,                0.39147,                0.42755,                 0.2262,                 1.9712,                 2.1065,                 1.9601,               0.005908,               0.005908,               0.005908
                    127,                 1.4293,                 1.3869,                 1.5433,                0.46361,                0.40221,                0.40576,                0.20965,                 1.9821,                 2.1729,                   1.95,               0.005875,               0.005875,               0.005875
                    128,                 1.3951,                  1.368,                 1.5223,                0.51613,                0.43053,                0.45165,                0.23162,                 2.0015,                 2.1085,                 1.9671,               0.005842,               0.005842,               0.005842
                    129,                  1.403,                 1.3281,                  1.517,                 0.4573,                0.34973,                0.36542,                0.17817,                 2.0973,                 2.3757,                 2.0357,               0.005809,               0.005809,               0.005809
                    130,                 1.3867,                 1.3697,                  1.525,                0.29401,                0.34017,                0.31469,                0.16195,                  2.142,                 2.7071,                 2.1094,               0.005776,               0.005776,               0.005776
                    131,                 1.4252,                 1.3872,                 1.5346,                0.41306,                0.30071,                0.31619,                 0.1701,                 2.1348,                 2.5087,                 2.0823,               0.005743,               0.005743,               0.005743
                    132,                 1.3999,                 1.3438,                 1.5138,                0.48706,                0.33474,                0.36668,                 0.1969,                 2.0662,                  2.275,                 2.0318,                0.00571,                0.00571,                0.00571
                    133,                 1.3874,                 1.3515,                 1.5124,                0.38343,                0.37594,                0.37416,                0.20392,                 2.0399,                 2.1924,                  2.011,               0.005677,               0.005677,               0.005677
                    134,                 1.3633,                 1.3423,                 1.5002,                0.49968,                0.46731,                0.48097,                0.24379,                 2.0808,                 2.1378,                  2.052,               0.005644,               0.005644,               0.005644
                    135,                 1.4107,                 1.3589,                 1.5286,                0.42762,                0.41126,                0.41599,                0.22731,                  2.035,                 2.0586,                  1.966,               0.005611,               0.005611,               0.005611
